position,title,result_id,link,snippet,publication_info_summary,publication_info_authors_0_name,publication_info_authors_0_link,publication_info_authors_0_serpapi_scholar_link,publication_info_authors_0_author_id,publication_info_authors_1_name,publication_info_authors_1_link,publication_info_authors_1_serpapi_scholar_link,publication_info_authors_1_author_id,publication_info_authors_2_name,publication_info_authors_2_link,publication_info_authors_2_serpapi_scholar_link,publication_info_authors_2_author_id,resources_0_title,resources_0_file_format,resources_0_link,inline_links_serpapi_cite_link,inline_links_cited_by_total,inline_links_cited_by_link,inline_links_cited_by_cites_id,inline_links_cited_by_serpapi_scholar_link,inline_links_related_pages_link,inline_links_serpapi_related_pages_link,inline_links_versions_total,inline_links_versions_link,inline_links_versions_cluster_id,inline_links_versions_serpapi_scholar_link,inline_links_cached_page_link,type,inline_links_html_version,publication_info_authors_3_name,publication_info_authors_3_link,publication_info_authors_3_serpapi_scholar_link,publication_info_authors_3_author_id
0,Bayesian reinforcement learning: A survey,3zVnN4hjXvsJ,https://www.nowpublishers.com/article/Details/MAL-049,… of Bayesian methods for the reinforcement learning (RL) paradigm. The major incentives for incorporating Bayesian … We first discuss models and methods for Bayesian inference in the …,"M Ghavamzadeh, S Mannor, J Pineau… - … and Trends® in …, 2015 - nowpublishers.com",M Ghavamzadeh,https://scholar.google.com/citations?user=Bo-wyrkAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=Bo-wyrkAAAAJ&engine=google_scholar_author&hl=en,Bo-wyrkAAAAJ,S Mannor,https://scholar.google.com/citations?user=q1HlbIUAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=q1HlbIUAAAAJ&engine=google_scholar_author&hl=en,q1HlbIUAAAAJ,J Pineau,https://scholar.google.com/citations?user=CEt6_mMAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=CEt6_mMAAAAJ&engine=google_scholar_author&hl=en,CEt6_mMAAAAJ,nowpublishers.com,PDF,https://www.nowpublishers.com/article/DownloadSummary/MAL-049,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=3zVnN4hjXvsJ,531,"https://scholar.google.com/scholar?cites=18113024188026926559&as_sdt=80005&sciodt=0,11&hl=en&num=20",18113024188026926559,https://serpapi.com/search.json?as_sdt=80005&cites=18113024188026926559&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:3zVnN4hjXvsJ:scholar.google.com/&scioq=%22reinforcement+learning%22+AND+%22aixi%22+OR+%22bayes%22+OR+%22bayesian%22+OR+%22dqn%22+OR+%22induction%22+OR+%22solomonoff%22+OR+%22kolmogorov%22+OR+%22knowledge+graph%22+OR+%22knowledge+base%22)&hl=en&num=20&as_sdt=0,11",https://serpapi.com/search.json?as_sdt=0%2C11&engine=google_scholar&hl=en&num=20&q=related%3A3zVnN4hjXvsJ%3Ascholar.google.com%2F&start=0,13,"https://scholar.google.com/scholar?cluster=18113024188026926559&hl=en&num=20&as_sdt=0,11",18113024188026926559,https://serpapi.com/search.json?as_sdt=0%2C11&cluster=18113024188026926559&engine=google_scholar&hl=en&num=20,"https://scholar.googleusercontent.com/scholar?q=cache:3zVnN4hjXvsJ:scholar.google.com/+%22reinforcement+learning%22+AND+%22aixi%22+OR+%22bayes%22+OR+%22bayesian%22+OR+%22dqn%22+OR+%22induction%22+OR+%22solomonoff%22+OR+%22kolmogorov%22+OR+%22knowledge+graph%22+OR+%22knowledge+base%22)&hl=en&num=20&as_sdt=0,11",,,,,,
1,Bayesian reinforcement learning,18PTp0x1v2cJ,https://link.springer.com/chapter/10.1007/978-3-642-27645-3_11,"… This chapter surveys recent lines of work that use Bayesian techniques for reinforcement learning. In Bayesian learning, uncertainty is expressed by a prior distribution over unknown …","N Vlassis, M Ghavamzadeh, S Mannor… - Reinforcement Learning …, 2012 - Springer",N Vlassis,https://scholar.google.com/citations?user=JJWWPjsAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=JJWWPjsAAAAJ&engine=google_scholar_author&hl=en,JJWWPjsAAAAJ,M Ghavamzadeh,https://scholar.google.com/citations?user=Bo-wyrkAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=Bo-wyrkAAAAJ&engine=google_scholar_author&hl=en,Bo-wyrkAAAAJ,S Mannor,https://scholar.google.com/citations?user=q1HlbIUAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=q1HlbIUAAAAJ&engine=google_scholar_author&hl=en,q1HlbIUAAAAJ,uni.lu,PDF,https://orbilu.uni.lu/bitstream/10993/3390/1/BRLchapter.pdf,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=18PTp0x1v2cJ,101,"https://scholar.google.com/scholar?cites=7475822878551950295&as_sdt=80005&sciodt=0,11&hl=en&num=20",7475822878551950295,https://serpapi.com/search.json?as_sdt=80005&cites=7475822878551950295&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:18PTp0x1v2cJ:scholar.google.com/&scioq=%22reinforcement+learning%22+AND+%22aixi%22+OR+%22bayes%22+OR+%22bayesian%22+OR+%22dqn%22+OR+%22induction%22+OR+%22solomonoff%22+OR+%22kolmogorov%22+OR+%22knowledge+graph%22+OR+%22knowledge+base%22)&hl=en&num=20&as_sdt=0,11",https://serpapi.com/search.json?as_sdt=0%2C11&engine=google_scholar&hl=en&num=20&q=related%3A18PTp0x1v2cJ%3Ascholar.google.com%2F&start=0,14,"https://scholar.google.com/scholar?cluster=7475822878551950295&hl=en&num=20&as_sdt=0,11",7475822878551950295,https://serpapi.com/search.json?as_sdt=0%2C11&cluster=7475822878551950295&engine=google_scholar&hl=en&num=20,,,,,,,
2,A Bayesian framework for reinforcement learning,8qUHOBQ3vGQJ,http://www.ece.uvic.ca/~bctill/papers/learning/Strens_2000.pdf,… The reinforcement learning problem can be decomposed into two parallel types of inference: (i… This Bayesian method always converges to the optimal policy for a stationary process with …,"M Strens - ICML, 2000 - ece.uvic.ca",M Strens,https://scholar.google.com/citations?user=O4ZsVzYAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=O4ZsVzYAAAAJ&engine=google_scholar_author&hl=en,O4ZsVzYAAAAJ,,,,,,,,,uvic.ca,PDF,http://www.ece.uvic.ca/~bctill/papers/learning/Strens_2000.pdf,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=8qUHOBQ3vGQJ,582,"https://scholar.google.com/scholar?cites=7258737259393295858&as_sdt=80005&sciodt=0,11&hl=en&num=20",7258737259393295858,https://serpapi.com/search.json?as_sdt=80005&cites=7258737259393295858&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:8qUHOBQ3vGQJ:scholar.google.com/&scioq=%22reinforcement+learning%22+AND+%22aixi%22+OR+%22bayes%22+OR+%22bayesian%22+OR+%22dqn%22+OR+%22induction%22+OR+%22solomonoff%22+OR+%22kolmogorov%22+OR+%22knowledge+graph%22+OR+%22knowledge+base%22)&hl=en&num=20&as_sdt=0,11",https://serpapi.com/search.json?as_sdt=0%2C11&engine=google_scholar&hl=en&num=20&q=related%3A8qUHOBQ3vGQJ%3Ascholar.google.com%2F&start=0,7,"https://scholar.google.com/scholar?cluster=7258737259393295858&hl=en&num=20&as_sdt=0,11",7258737259393295858,https://serpapi.com/search.json?as_sdt=0%2C11&cluster=7258737259393295858&engine=google_scholar&hl=en&num=20,"https://scholar.googleusercontent.com/scholar?q=cache:8qUHOBQ3vGQJ:scholar.google.com/+%22reinforcement+learning%22+AND+%22aixi%22+OR+%22bayes%22+OR+%22bayesian%22+OR+%22dqn%22+OR+%22induction%22+OR+%22solomonoff%22+OR+%22kolmogorov%22+OR+%22knowledge+graph%22+OR+%22knowledge+base%22)&hl=en&num=20&as_sdt=0,11",Pdf,,,,,
3,Efficient reinforcement learning from demonstration via bayesian network-based knowledge extraction,Li_6GMjfbGIJ,https://www.hindawi.com/journals/cin/2021/7588221/,"… Reinforcement Learning from demonstration via Bayesian … from expert demonstrations via Bayesian networks and combines … , we use Bayesian networks to represent discrete Bayesian …","Y Zhang, Y Lan, Q Fang, X Xu, J Li… - Computational …, 2021 - hindawi.com",Y Lan,https://scholar.google.com/citations?user=NTCmJmEAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=NTCmJmEAAAAJ&engine=google_scholar_author&hl=en,NTCmJmEAAAAJ,Q Fang,https://scholar.google.com/citations?user=uJWsyxAAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=uJWsyxAAAAAJ&engine=google_scholar_author&hl=en,uJWsyxAAAAAJ,,,,,hindawi.com,HTML,https://www.hindawi.com/journals/cin/2021/7588221/,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=Li_6GMjfbGIJ,14,"https://scholar.google.com/scholar?cites=7092289563707191086&as_sdt=80005&sciodt=0,11&hl=en&num=20",7092289563707191086,https://serpapi.com/search.json?as_sdt=80005&cites=7092289563707191086&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:Li_6GMjfbGIJ:scholar.google.com/&scioq=%22reinforcement+learning%22+AND+%22aixi%22+OR+%22bayes%22+OR+%22bayesian%22+OR+%22dqn%22+OR+%22induction%22+OR+%22solomonoff%22+OR+%22kolmogorov%22+OR+%22knowledge+graph%22+OR+%22knowledge+base%22)&hl=en&num=20&as_sdt=0,11",https://serpapi.com/search.json?as_sdt=0%2C11&engine=google_scholar&hl=en&num=20&q=related%3ALi_6GMjfbGIJ%3Ascholar.google.com%2F&start=0,9,"https://scholar.google.com/scholar?cluster=7092289563707191086&hl=en&num=20&as_sdt=0,11",7092289563707191086,https://serpapi.com/search.json?as_sdt=0%2C11&cluster=7092289563707191086&engine=google_scholar&hl=en&num=20,"https://scholar.googleusercontent.com/scholar?q=cache:Li_6GMjfbGIJ:scholar.google.com/+%22reinforcement+learning%22+AND+%22aixi%22+OR+%22bayes%22+OR+%22bayesian%22+OR+%22dqn%22+OR+%22induction%22+OR+%22solomonoff%22+OR+%22kolmogorov%22+OR+%22knowledge+graph%22+OR+%22knowledge+base%22)&hl=en&num=20&as_sdt=0,11",Html,https://www.hindawi.com/journals/cin/2021/7588221/,,,,
4,Bayesian Inverse Reinforcement Learning.,BRK6gYeLqDkJ,https://www.academia.edu/download/7555717/10.1.1.79.2974.pdf,"… 3.1 Evidence from the Expert Now we present the details of our Bayesian IRL model (Fig. 2). … a policy for (M, R) using a reinforcement learning algorithm. Because the expert’s policy is …","D Ramachandran, E Amir - IJCAI, 2007 - academia.edu",D Ramachandran,https://scholar.google.com/citations?user=TJnfAvYAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=TJnfAvYAAAAJ&engine=google_scholar_author&hl=en,TJnfAvYAAAAJ,E Amir,https://scholar.google.com/citations?user=fK04qe4AAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=fK04qe4AAAAJ&engine=google_scholar_author&hl=en,fK04qe4AAAAJ,,,,,academia.edu,PDF,https://www.academia.edu/download/7555717/10.1.1.79.2974.pdf,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=BRK6gYeLqDkJ,954,"https://scholar.google.com/scholar?cites=4154724070362583557&as_sdt=80005&sciodt=0,11&hl=en&num=20",4154724070362583557,https://serpapi.com/search.json?as_sdt=80005&cites=4154724070362583557&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:BRK6gYeLqDkJ:scholar.google.com/&scioq=%22reinforcement+learning%22+AND+%22aixi%22+OR+%22bayes%22+OR+%22bayesian%22+OR+%22dqn%22+OR+%22induction%22+OR+%22solomonoff%22+OR+%22kolmogorov%22+OR+%22knowledge+graph%22+OR+%22knowledge+base%22)&hl=en&num=20&as_sdt=0,11",https://serpapi.com/search.json?as_sdt=0%2C11&engine=google_scholar&hl=en&num=20&q=related%3ABRK6gYeLqDkJ%3Ascholar.google.com%2F&start=0,15,"https://scholar.google.com/scholar?cluster=4154724070362583557&hl=en&num=20&as_sdt=0,11",4154724070362583557,https://serpapi.com/search.json?as_sdt=0%2C11&cluster=4154724070362583557&engine=google_scholar&hl=en&num=20,"https://scholar.googleusercontent.com/scholar?q=cache:BRK6gYeLqDkJ:scholar.google.com/+%22reinforcement+learning%22+AND+%22aixi%22+OR+%22bayes%22+OR+%22bayesian%22+OR+%22dqn%22+OR+%22induction%22+OR+%22solomonoff%22+OR+%22kolmogorov%22+OR+%22knowledge+graph%22+OR+%22knowledge+base%22)&hl=en&num=20&as_sdt=0,11",Pdf,,,,,
5,KERL: A knowledge-guided reinforcement learning model for sequential recommendation,oF5KuB-PnlYJ,https://dl.acm.org/doi/abs/10.1145/3397271.3401134,"… To improve the predictive capacity, we adopt reinforcement learning (RL) for developing … of knowledge graph (KG), we propose a novel Knowledge-guidEd Reinforcement Learning …","P Wang, Y Fan, L Xia, WX Zhao, SZ Niu… - Proceedings of the 43rd …, 2020 - dl.acm.org",P Wang,https://scholar.google.com/citations?user=BEDKYxUAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=BEDKYxUAAAAJ&engine=google_scholar_author&hl=en,BEDKYxUAAAAJ,Y Fan,https://scholar.google.com/citations?user=IZ2kY8gAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=IZ2kY8gAAAAJ&engine=google_scholar_author&hl=en,IZ2kY8gAAAAJ,L Xia,https://scholar.google.com/citations?user=NRwerBAAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=NRwerBAAAAAJ&engine=google_scholar_author&hl=en,NRwerBAAAAAJ,google.com,PDF,https://drive.google.com/file/d/1An5YXDvQ1K0A1AwpJG-I4gTbIQ26gUDS/view,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=oF5KuB-PnlYJ,121,"https://scholar.google.com/scholar?cites=6241583499980725920&as_sdt=80005&sciodt=0,11&hl=en&num=20",6241583499980725920,https://serpapi.com/search.json?as_sdt=80005&cites=6241583499980725920&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:oF5KuB-PnlYJ:scholar.google.com/&scioq=%22reinforcement+learning%22+AND+%22aixi%22+OR+%22bayes%22+OR+%22bayesian%22+OR+%22dqn%22+OR+%22induction%22+OR+%22solomonoff%22+OR+%22kolmogorov%22+OR+%22knowledge+graph%22+OR+%22knowledge+base%22)&hl=en&num=20&as_sdt=0,11",https://serpapi.com/search.json?as_sdt=0%2C11&engine=google_scholar&hl=en&num=20&q=related%3AoF5KuB-PnlYJ%3Ascholar.google.com%2F&start=0,3,"https://scholar.google.com/scholar?cluster=6241583499980725920&hl=en&num=20&as_sdt=0,11",6241583499980725920,https://serpapi.com/search.json?as_sdt=0%2C11&cluster=6241583499980725920&engine=google_scholar&hl=en&num=20,,,,WX Zhao,https://scholar.google.com/citations?user=JNhNacoAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=JNhNacoAAAAJ&engine=google_scholar_author&hl=en,JNhNacoAAAAJ
6,Deeppath: A reinforcement learning method for knowledge graph reasoning,ljqVj9Pm070J,https://arxiv.org/abs/1707.06690,"… 2016) is a more recent work on KG reasoning, which also applies reinforcement learning … our RL model tries to add new facts to knowledge graph (KG) by reasoning on existing KG …","W Xiong, T Hoang, WY Wang - arXiv preprint arXiv:1707.06690, 2017 - arxiv.org",W Xiong,https://scholar.google.com/citations?user=J9_LwQUAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=J9_LwQUAAAAJ&engine=google_scholar_author&hl=en,J9_LwQUAAAAJ,WY Wang,https://scholar.google.com/citations?user=gf8Ms_8AAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=gf8Ms_8AAAAJ&engine=google_scholar_author&hl=en,gf8Ms_8AAAAJ,,,,,arxiv.org,PDF,https://arxiv.org/pdf/1707.06690,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=ljqVj9Pm070J,783,"https://scholar.google.com/scholar?cites=13678530289575738006&as_sdt=80005&sciodt=0,11&hl=en&num=20",13678530289575738006,https://serpapi.com/search.json?as_sdt=80005&cites=13678530289575738006&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:ljqVj9Pm070J:scholar.google.com/&scioq=%22reinforcement+learning%22+AND+%22aixi%22+OR+%22bayes%22+OR+%22bayesian%22+OR+%22dqn%22+OR+%22induction%22+OR+%22solomonoff%22+OR+%22kolmogorov%22+OR+%22knowledge+graph%22+OR+%22knowledge+base%22)&hl=en&num=20&as_sdt=0,11",https://serpapi.com/search.json?as_sdt=0%2C11&engine=google_scholar&hl=en&num=20&q=related%3AljqVj9Pm070J%3Ascholar.google.com%2F&start=0,8,"https://scholar.google.com/scholar?cluster=13678530289575738006&hl=en&num=20&as_sdt=0,11",13678530289575738006,https://serpapi.com/search.json?as_sdt=0%2C11&cluster=13678530289575738006&engine=google_scholar&hl=en&num=20,"https://scholar.googleusercontent.com/scholar?q=cache:ljqVj9Pm070J:scholar.google.com/+%22reinforcement+learning%22+AND+%22aixi%22+OR+%22bayes%22+OR+%22bayesian%22+OR+%22dqn%22+OR+%22induction%22+OR+%22solomonoff%22+OR+%22kolmogorov%22+OR+%22knowledge+graph%22+OR+%22knowledge+base%22)&hl=en&num=20&as_sdt=0,11",,,,,,
7,Timetraveler: Reinforcement learning for temporal knowledge graph forecasting,lK34YvgFpH0J,https://arxiv.org/abs/2109.04101,"… Temporal knowledge graph (TKG) reasoning is a crucial task that has gained … reinforcement learning method for forecasting. Specifically, the agent travels on historical knowledge graph …","H Sun, J Zhong, Y Ma, Z Han, K He - arXiv preprint arXiv:2109.04101, 2021 - arxiv.org",Y Ma,https://scholar.google.com/citations?user=fj5DzgcAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=fj5DzgcAAAAJ&engine=google_scholar_author&hl=en,fj5DzgcAAAAJ,Z Han,https://scholar.google.com/citations?user=HMdgrwoAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=HMdgrwoAAAAJ&engine=google_scholar_author&hl=en,HMdgrwoAAAAJ,K He,https://scholar.google.com/citations?user=YTQnGJsAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=YTQnGJsAAAAJ&engine=google_scholar_author&hl=en,YTQnGJsAAAAJ,arxiv.org,PDF,https://arxiv.org/pdf/2109.04101,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=lK34YvgFpH0J,103,"https://scholar.google.com/scholar?cites=9053367715292032404&as_sdt=80005&sciodt=0,11&hl=en&num=20",9053367715292032404,https://serpapi.com/search.json?as_sdt=80005&cites=9053367715292032404&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:lK34YvgFpH0J:scholar.google.com/&scioq=%22reinforcement+learning%22+AND+%22aixi%22+OR+%22bayes%22+OR+%22bayesian%22+OR+%22dqn%22+OR+%22induction%22+OR+%22solomonoff%22+OR+%22kolmogorov%22+OR+%22knowledge+graph%22+OR+%22knowledge+base%22)&hl=en&num=20&as_sdt=0,11",https://serpapi.com/search.json?as_sdt=0%2C11&engine=google_scholar&hl=en&num=20&q=related%3AlK34YvgFpH0J%3Ascholar.google.com%2F&start=0,5,"https://scholar.google.com/scholar?cluster=9053367715292032404&hl=en&num=20&as_sdt=0,11",9053367715292032404,https://serpapi.com/search.json?as_sdt=0%2C11&cluster=9053367715292032404&engine=google_scholar&hl=en&num=20,"https://scholar.googleusercontent.com/scholar?q=cache:lK34YvgFpH0J:scholar.google.com/+%22reinforcement+learning%22+AND+%22aixi%22+OR+%22bayes%22+OR+%22bayesian%22+OR+%22dqn%22+OR+%22induction%22+OR+%22solomonoff%22+OR+%22kolmogorov%22+OR+%22knowledge+graph%22+OR+%22knowledge+base%22)&hl=en&num=20&as_sdt=0,11",,,,,,
8,Causal Reinforcement Learning for Knowledge Graph Reasoning,fiZbLaFiAusJ,https://www.mdpi.com/2076-3417/14/6/2498,"… We introduce a new method combining causal inference and reinforcement learning that applies to knowledge graph reasoning. Specifically, the prior knowledge is integrated into the …","D Li, Y Lu, J Wu, W Zhou, G Zeng - Applied Sciences, 2024 - mdpi.com",,,,,,,,,,,,,mdpi.com,PDF,https://www.mdpi.com/2076-3417/14/6/2498/pdf,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=fiZbLaFiAusJ,1,"https://scholar.google.com/scholar?cites=16934205993256691326&as_sdt=80005&sciodt=0,11&hl=en&num=20",16934205993256691326,https://serpapi.com/search.json?as_sdt=80005&cites=16934205993256691326&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:fiZbLaFiAusJ:scholar.google.com/&scioq=%22reinforcement+learning%22+AND+%22aixi%22+OR+%22bayes%22+OR+%22bayesian%22+OR+%22dqn%22+OR+%22induction%22+OR+%22solomonoff%22+OR+%22kolmogorov%22+OR+%22knowledge+graph%22+OR+%22knowledge+base%22)&hl=en&num=20&as_sdt=0,11",https://serpapi.com/search.json?as_sdt=0%2C11&engine=google_scholar&hl=en&num=20&q=related%3AfiZbLaFiAusJ%3Ascholar.google.com%2F&start=0,2,"https://scholar.google.com/scholar?cluster=16934205993256691326&hl=en&num=20&as_sdt=0,11",16934205993256691326,https://serpapi.com/search.json?as_sdt=0%2C11&cluster=16934205993256691326&engine=google_scholar&hl=en&num=20,"https://scholar.googleusercontent.com/scholar?q=cache:fiZbLaFiAusJ:scholar.google.com/+%22reinforcement+learning%22+AND+%22aixi%22+OR+%22bayes%22+OR+%22bayesian%22+OR+%22dqn%22+OR+%22induction%22+OR+%22solomonoff%22+OR+%22kolmogorov%22+OR+%22knowledge+graph%22+OR+%22knowledge+base%22)&hl=en&num=20&as_sdt=0,11",,,,,,
