position,title,result_id,type,link,snippet,publication_info_summary,publication_info_authors_0_name,publication_info_authors_0_link,publication_info_authors_0_serpapi_scholar_link,publication_info_authors_0_author_id,resources_0_title,resources_0_file_format,resources_0_link,inline_links_serpapi_cite_link,inline_links_cited_by_total,inline_links_cited_by_link,inline_links_cited_by_cites_id,inline_links_cited_by_serpapi_scholar_link,inline_links_related_pages_link,inline_links_serpapi_related_pages_link,inline_links_versions_total,inline_links_versions_link,inline_links_versions_cluster_id,inline_links_versions_serpapi_scholar_link,publication_info_authors_1_name,publication_info_authors_1_link,publication_info_authors_1_serpapi_scholar_link,publication_info_authors_1_author_id,publication_info_authors_2_name,publication_info_authors_2_link,publication_info_authors_2_serpapi_scholar_link,publication_info_authors_2_author_id,publication_info_authors_3_name,publication_info_authors_3_link,publication_info_authors_3_serpapi_scholar_link,publication_info_authors_3_author_id,publication_info_authors_4_name,publication_info_authors_4_link,publication_info_authors_4_serpapi_scholar_link,publication_info_authors_4_author_id,inline_links_cached_page_link,resources_1_title,resources_1_link
0,Machine learning,_zuqxloS2b0J,Book,https://books.google.com/books?hl=en&lr=&id=2nQJEAAAQBAJ&oi=fnd&pg=PR7&dq=machine%2Blearning&ots=fI_8V9-Goq&sig=8lZF_aKpRN7-8moI0KWk1x_UGRc,"A concise overview of machine learning--computer programs that learn from data--the basis of such applications as voice recognition and driverless cars. Today, machine learning …",E Alpaydin - 2021 - books.google.com,E Alpaydin,https://scholar.google.com/citations?user=lXYKgiYAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=lXYKgiYAAAAJ&engine=google_scholar_author&hl=en,lXYKgiYAAAAJ,pomona.edu,PDF,https://cs.pomona.edu/~dkauchak/classes/s16/cs30-s16/lectures/lecture12-NN-basics.pdf,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=_zuqxloS2b0J,993,"https://scholar.google.com/scholar?cites=13679985524203994111&as_sdt=5,26&sciodt=0,26&hl=en&num=20",13679985524203994111,https://serpapi.com/search.json?as_sdt=5%2C26&cites=13679985524203994111&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:_zuqxloS2b0J:scholar.google.com/&scioq=machine%2Blearning&hl=en&num=20&as_sdt=0,26",https://serpapi.com/search.json?as_sdt=0%2C26&engine=google_scholar&hl=en&num=20&q=related%3A_zuqxloS2b0J%3Ascholar.google.com%2F&start=0,11.0,"https://scholar.google.com/scholar?cluster=13679985524203994111&hl=en&num=20&as_sdt=0,26",13679985524203994111,https://serpapi.com/search.json?as_sdt=0%2C26&cluster=13679985524203994111&engine=google_scholar&hl=en&num=20,,,,,,,,,,,,,,,,,,,
1,"Machine learning: Trends, perspectives, and prospects",pdcI9r5sCJcJ,,https://www.science.org/doi/abs/10.1126/science.aaa8415,… Machine learning addresses the question of how to build computers that improve … Recent progress in machine learning has been driven both by the development of new learning …,"MI Jordan, TM Mitchell - Science, 2015 - science.org",MI Jordan,https://scholar.google.com/citations?user=yxUduqMAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=yxUduqMAAAAJ&engine=google_scholar_author&hl=en,yxUduqMAAAAJ,cmu.edu,PDF,http://www.cs.cmu.edu/~tom/pubs/Science-ML-2015.pdf,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=pdcI9r5sCJcJ,8613,"https://scholar.google.com/scholar?cites=10883068066968164261&as_sdt=5,26&sciodt=0,26&hl=en&num=20",10883068066968164261,https://serpapi.com/search.json?as_sdt=5%2C26&cites=10883068066968164261&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:pdcI9r5sCJcJ:scholar.google.com/&scioq=machine%2Blearning&hl=en&num=20&as_sdt=0,26",https://serpapi.com/search.json?as_sdt=0%2C26&engine=google_scholar&hl=en&num=20&q=related%3ApdcI9r5sCJcJ%3Ascholar.google.com%2F&start=0,25.0,"https://scholar.google.com/scholar?cluster=10883068066968164261&hl=en&num=20&as_sdt=0,26",10883068066968164261,https://serpapi.com/search.json?as_sdt=0%2C26&cluster=10883068066968164261&engine=google_scholar&hl=en&num=20,TM Mitchell,https://scholar.google.com/citations?user=MnfzuPYAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=MnfzuPYAAAAJ&engine=google_scholar_author&hl=en,MnfzuPYAAAAJ,,,,,,,,,,,,,,,
2,What is machine learning?,6uA6mpei2rcJ,Book,https://link.springer.com/chapter/10.1007/978-3-319-18305-3_1,… A machine learning algorithm is a computational process that … This training is the “learning” part of machine learning. The … can practice “lifelong” learning as it processes new data and …,"I El Naqa, MJ Murphy - 2015 - Springer",I El Naqa,https://scholar.google.com/citations?user=9Vdfc2sAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=9Vdfc2sAAAAJ&engine=google_scholar_author&hl=en,9Vdfc2sAAAAJ,vutbr.cz,PDF,"http://vision.uamt.feec.vutbr.cz/ROZ/lectures/Machine%20Learning%20in%20Computer%20Vision%20(F.F.%20Li,%20Stanford).pdf",https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=6uA6mpei2rcJ,1237,"https://scholar.google.com/scholar?cites=13248080025875046634&as_sdt=5,26&sciodt=0,26&hl=en&num=20",13248080025875046634,https://serpapi.com/search.json?as_sdt=5%2C26&cites=13248080025875046634&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:6uA6mpei2rcJ:scholar.google.com/&scioq=machine%2Blearning&hl=en&num=20&as_sdt=0,26",https://serpapi.com/search.json?as_sdt=0%2C26&engine=google_scholar&hl=en&num=20&q=related%3A6uA6mpei2rcJ%3Ascholar.google.com%2F&start=0,11.0,"https://scholar.google.com/scholar?cluster=13248080025875046634&hl=en&num=20&as_sdt=0,26",13248080025875046634,https://serpapi.com/search.json?as_sdt=0%2C26&cluster=13248080025875046634&engine=google_scholar&hl=en&num=20,,,,,,,,,,,,,,,,,,,
3,Machine learning and the physical sciences,eucrqVB_bisJ,,https://journals.aps.org/rmp/abstract/10.1103/RevModPhys.91.045002,"… II, where the interaction with machine learning has a long history, drawing on methods in … in machine learning. We then turn the wheel in the other direction of using machine learning for …","G Carleo, I Cirac, K Cranmer, L Daudet, M Schuld… - Reviews of Modern …, 2019 - APS",G Carleo,https://scholar.google.com/citations?user=e9I38PEAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=e9I38PEAAAAJ&engine=google_scholar_author&hl=en,e9I38PEAAAAJ,aps.org,PDF,https://link.aps.org/accepted/10.1103/RevModPhys.91.045002,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=eucrqVB_bisJ,2117,"https://scholar.google.com/scholar?cites=3129578775481411450&as_sdt=5,26&sciodt=0,26&hl=en&num=20",3129578775481411450,https://serpapi.com/search.json?as_sdt=5%2C26&cites=3129578775481411450&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:eucrqVB_bisJ:scholar.google.com/&scioq=machine%2Blearning&hl=en&num=20&as_sdt=0,26",https://serpapi.com/search.json?as_sdt=0%2C26&engine=google_scholar&hl=en&num=20&q=related%3AeucrqVB_bisJ%3Ascholar.google.com%2F&start=0,13.0,"https://scholar.google.com/scholar?cluster=3129578775481411450&hl=en&num=20&as_sdt=0,26",3129578775481411450,https://serpapi.com/search.json?as_sdt=0%2C26&cluster=3129578775481411450&engine=google_scholar&hl=en&num=20,I Cirac,https://scholar.google.com/citations?user=gPGlTbgAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=gPGlTbgAAAAJ&engine=google_scholar_author&hl=en,gPGlTbgAAAAJ,K Cranmer,https://scholar.google.com/citations?user=EZjSxgwAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=EZjSxgwAAAAJ&engine=google_scholar_author&hl=en,EZjSxgwAAAAJ,L Daudet,https://scholar.google.com/citations?user=PCIAcfUAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=PCIAcfUAAAAJ&engine=google_scholar_author&hl=en,PCIAcfUAAAAJ,M Schuld,https://scholar.google.com/citations?user=_ih_hwUAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=_ih_hwUAAAAJ&engine=google_scholar_author&hl=en,_ih_hwUAAAAJ,,,
4,Machine learning in agriculture: A review,3IzyYvVQwr4J,,https://www.mdpi.com/1424-8220/18/8/2674,"… research dedicated to applications of machine learning in agricultural production systems. … will benefit from machine learning technologies. By applying machine learning to sensor data, …","KG Liakos, P Busato, D Moshou, S Pearson, D Bochtis - Sensors, 2018 - mdpi.com",KG Liakos,https://scholar.google.com/citations?user=hlvhA7cAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=hlvhA7cAAAAJ&engine=google_scholar_author&hl=en,hlvhA7cAAAAJ,mdpi.com,PDF,https://www.mdpi.com/1424-8220/18/8/2674/pdf,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=3IzyYvVQwr4J,2387,"https://scholar.google.com/scholar?cites=13745638027545447644&as_sdt=5,26&sciodt=0,26&hl=en&num=20",13745638027545447644,https://serpapi.com/search.json?as_sdt=5%2C26&cites=13745638027545447644&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:3IzyYvVQwr4J:scholar.google.com/&scioq=machine%2Blearning&hl=en&num=20&as_sdt=0,26",https://serpapi.com/search.json?as_sdt=0%2C26&engine=google_scholar&hl=en&num=20&q=related%3A3IzyYvVQwr4J%3Ascholar.google.com%2F&start=0,20.0,"https://scholar.google.com/scholar?cluster=13745638027545447644&hl=en&num=20&as_sdt=0,26",13745638027545447644,https://serpapi.com/search.json?as_sdt=0%2C26&cluster=13745638027545447644&engine=google_scholar&hl=en&num=20,P Busato,https://scholar.google.com/citations?user=8Zse3ksAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=8Zse3ksAAAAJ&engine=google_scholar_author&hl=en,8Zse3ksAAAAJ,D Moshou,https://scholar.google.com/citations?user=kblkOBcAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=kblkOBcAAAAJ&engine=google_scholar_author&hl=en,kblkOBcAAAAJ,S Pearson,https://scholar.google.com/citations?user=_xeFP80AAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=_xeFP80AAAAJ&engine=google_scholar_author&hl=en,_xeFP80AAAAJ,D Bochtis,https://scholar.google.com/citations?user=k6oh-OQAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=k6oh-OQAAAAJ&engine=google_scholar_author&hl=en,k6oh-OQAAAAJ,"https://scholar.googleusercontent.com/scholar?q=cache:3IzyYvVQwr4J:scholar.google.com/+machine%2Blearning&hl=en&num=20&as_sdt=0,26",,
5,What is machine learning? A primer for the epidemiologist,LDE5SAcBB-gJ,,https://academic.oup.com/aje/article-abstract/188/12/2222/5567515,… We provide a brief introduction to 5 common machine learning … of machine learning techniques in the published literature. We recommend approaches to incorporate machine learning …,"Q Bi, KE Goodman, J Kaminsky… - American journal of …, 2019 - academic.oup.com",J Kaminsky,https://scholar.google.com/citations?user=BFdcm_gAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=BFdcm_gAAAAJ&engine=google_scholar_author&hl=en,BFdcm_gAAAAJ,umsha.ac.ir,PDF,https://sph.umsha.ac.ir/uploads/18/2023/May/22/kwz189.pdf,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=LDE5SAcBB-gJ,503,"https://scholar.google.com/scholar?cites=16719333272424362284&as_sdt=5,26&sciodt=0,26&hl=en&num=20",16719333272424362284,https://serpapi.com/search.json?as_sdt=5%2C26&cites=16719333272424362284&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:LDE5SAcBB-gJ:scholar.google.com/&scioq=machine%2Blearning&hl=en&num=20&as_sdt=0,26",https://serpapi.com/search.json?as_sdt=0%2C26&engine=google_scholar&hl=en&num=20&q=related%3ALDE5SAcBB-gJ%3Ascholar.google.com%2F&start=0,10.0,"https://scholar.google.com/scholar?cluster=16719333272424362284&hl=en&num=20&as_sdt=0,26",16719333272424362284,https://serpapi.com/search.json?as_sdt=0%2C26&cluster=16719333272424362284&engine=google_scholar&hl=en&num=20,,,,,,,,,,,,,,,,,,,
6,Readings in machine learning,fiUuYFSiLxwJ,Book,https://books.google.com/books?hl=en&lr=&id=UgC33U2KMCsC&oi=fnd&pg=PA1&dq=machine%2Blearning&ots=TigjlkaLt6&sig=l7Yk2QXPPjdBnW6Lk-YypZkBsB4,"… in machine learning. We have taught from these readings in our own machine learning … Furthermore, we in machine learning believe that learning techniques provide important con…","JW Shavlik, TG Dietterich - 1990 - books.google.com",JW Shavlik,https://scholar.google.com/citations?user=okf5bmQAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=okf5bmQAAAAJ&engine=google_scholar_author&hl=en,okf5bmQAAAAJ,,,,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=fiUuYFSiLxwJ,571,"https://scholar.google.com/scholar?cites=2031020440241972606&as_sdt=5,26&sciodt=0,26&hl=en&num=20",2031020440241972606,https://serpapi.com/search.json?as_sdt=5%2C26&cites=2031020440241972606&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:fiUuYFSiLxwJ:scholar.google.com/&scioq=machine%2Blearning&hl=en&num=20&as_sdt=0,26",https://serpapi.com/search.json?as_sdt=0%2C26&engine=google_scholar&hl=en&num=20&q=related%3AfiUuYFSiLxwJ%3Ascholar.google.com%2F&start=0,3.0,"https://scholar.google.com/scholar?cluster=2031020440241972606&hl=en&num=20&as_sdt=0,26",2031020440241972606,https://serpapi.com/search.json?as_sdt=0%2C26&cluster=2031020440241972606&engine=google_scholar&hl=en&num=20,TG Dietterich,https://scholar.google.com/citations?user=09kJn28AAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=09kJn28AAAAJ&engine=google_scholar_author&hl=en,09kJn28AAAAJ,,,,,,,,,,,,,,,
7,Encyclopedia of machine learning,IufbymTDBukJ,Book,https://books.google.com/books?hl=en&lr=&id=i8hQhp1a62UC&oi=fnd&pg=PT29&dq=machine%2Blearning&ots=92jdDxkHdM&sig=k4rKnSFhNiHxgSdlYFpFvcqFOYg,"… Machine Learning came to be identified as a research field in … machine learning appeared. Although the field coalesced in the s, research on what we now call machine learning …","C Sammut, GI Webb - 2011 - books.google.com",C Sammut,https://scholar.google.com/citations?user=1KsZREQAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=1KsZREQAAAAJ&engine=google_scholar_author&hl=en,1KsZREQAAAAJ,,,,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=IufbymTDBukJ,2198,"https://scholar.google.com/scholar?cites=16791323098365028130&as_sdt=5,26&sciodt=0,26&hl=en&num=20",16791323098365028130,https://serpapi.com/search.json?as_sdt=5%2C26&cites=16791323098365028130&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:IufbymTDBukJ:scholar.google.com/&scioq=machine%2Blearning&hl=en&num=20&as_sdt=0,26",https://serpapi.com/search.json?as_sdt=0%2C26&engine=google_scholar&hl=en&num=20&q=related%3AIufbymTDBukJ%3Ascholar.google.com%2F&start=0,6.0,"https://scholar.google.com/scholar?cluster=16791323098365028130&hl=en&num=20&as_sdt=0,26",16791323098365028130,https://serpapi.com/search.json?as_sdt=0%2C26&cluster=16791323098365028130&engine=google_scholar&hl=en&num=20,GI Webb,https://scholar.google.com/citations?user=_1tpf8AAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=_1tpf8AAAAAJ&engine=google_scholar_author&hl=en,_1tpf8AAAAAJ,,,,,,,,,,,,,,,
8,Machine learning in action,zsRGU1-JC9sJ,Book,https://books.google.com/books?hl=en&lr=&id=XTozEAAAQBAJ&oi=fnd&pg=PT18&dq=machine%2Blearning&ots=pxYiP7PRil&sig=nAFqFauTC9OVc138r96XvlPT55I,… uses of machine learning algorithms so that the reader can build better applications. … machine learning to massive datasets that cannot be adequately addressed on a single machine…,P Harrington - 2012 - books.google.com,,,,,academia.edu,PDF,https://www.academia.edu/download/55805430/Machine_Learning_in_Action.pdf,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=zsRGU1-JC9sJ,1338,"https://scholar.google.com/scholar?cites=15783860361562080462&as_sdt=5,26&sciodt=0,26&hl=en&num=20",15783860361562080462,https://serpapi.com/search.json?as_sdt=5%2C26&cites=15783860361562080462&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:zsRGU1-JC9sJ:scholar.google.com/&scioq=machine%2Blearning&hl=en&num=20&as_sdt=0,26",https://serpapi.com/search.json?as_sdt=0%2C26&engine=google_scholar&hl=en&num=20&q=related%3AzsRGU1-JC9sJ%3Ascholar.google.com%2F&start=0,5.0,"https://scholar.google.com/scholar?cluster=15783860361562080462&hl=en&num=20&as_sdt=0,26",15783860361562080462,https://serpapi.com/search.json?as_sdt=0%2C26&cluster=15783860361562080462&engine=google_scholar&hl=en&num=20,,,,,,,,,,,,,,,,,,,
9,Foundations of machine learning,IVyR3mXITrQJ,Book,https://books.google.com/books?hl=en&lr=&id=dWB9DwAAQBAJ&oi=fnd&pg=PR5&dq=machine%2Blearning&ots=AzoV_Vy5q1&sig=yP3Kz1xIShRwasQFy_1Jnp0hkbA,"… It covers fundamental modern topics in machine learning … complex topics arising in machine learning and highlight several … of important topics in machine learning, we have chosen to …","M Mohri, A Rostamizadeh, A Talwalkar - 2018 - books.google.com",M Mohri,https://scholar.google.com/citations?user=ktwwLjsAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=ktwwLjsAAAAJ&engine=google_scholar_author&hl=en,ktwwLjsAAAAJ,academia.edu,PDF,https://www.academia.edu/download/86186744/lecture_3.pdf,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=IVyR3mXITrQJ,6306,"https://scholar.google.com/scholar?cites=12992542314861780001&as_sdt=5,26&sciodt=0,26&hl=en&num=20",12992542314861780001,https://serpapi.com/search.json?as_sdt=5%2C26&cites=12992542314861780001&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:IVyR3mXITrQJ:scholar.google.com/&scioq=machine%2Blearning&hl=en&num=20&as_sdt=0,26",https://serpapi.com/search.json?as_sdt=0%2C26&engine=google_scholar&hl=en&num=20&q=related%3AIVyR3mXITrQJ%3Ascholar.google.com%2F&start=0,12.0,"https://scholar.google.com/scholar?cluster=12992542314861780001&hl=en&num=20&as_sdt=0,26",12992542314861780001,https://serpapi.com/search.json?as_sdt=0%2C26&cluster=12992542314861780001&engine=google_scholar&hl=en&num=20,A Rostamizadeh,https://scholar.google.com/citations?user=EPl3EkgAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=EPl3EkgAAAAJ&engine=google_scholar_author&hl=en,EPl3EkgAAAAJ,A Talwalkar,https://scholar.google.com/citations?user=TW7U1W0AAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=TW7U1W0AAAAJ&engine=google_scholar_author&hl=en,TW7U1W0AAAAJ,,,,,,,,,,,
10,Machine learning,EQ8shYj8Ai8J,Book,https://books.google.com/books?hl=en&lr=&id=ctM-EAAAQBAJ&oi=fnd&pg=PR6&dq=machine%2Blearning&ots=o_JnZ7Yz3q&sig=4kMTTRMw-rst-PJx0g3NMwKcFm4,"… machine learning. The second part includes Chapters 4–10, which presents some classic and popular machine learning … cover the core topics of machine learning in one semester, and …",ZH Zhou - 2021 - books.google.com,ZH Zhou,https://scholar.google.com/citations?user=rSVIHasAAAAJ&hl=en&num=20&oi=sra,https://serpapi.com/search.json?author_id=rSVIHasAAAAJ&engine=google_scholar_author&hl=en,rSVIHasAAAAJ,washington.edu,PDF,https://courses.cs.washington.edu/courses/cse160/18sp/sections/09/MachineLearning.pdf,https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=EQ8shYj8Ai8J,1989,"https://scholar.google.com/scholar?cites=3387547533016043281&as_sdt=5,26&sciodt=0,26&hl=en&num=20",3387547533016043281,https://serpapi.com/search.json?as_sdt=5%2C26&cites=3387547533016043281&engine=google_scholar&hl=en&num=20,"https://scholar.google.com/scholar?q=related:EQ8shYj8Ai8J:scholar.google.com/&scioq=machine%2Blearning&hl=en&num=20&as_sdt=0,26",https://serpapi.com/search.json?as_sdt=0%2C26&engine=google_scholar&hl=en&num=20&q=related%3AEQ8shYj8Ai8J%3Ascholar.google.com%2F&start=0,8.0,"https://scholar.google.com/scholar?cluster=3387547533016043281&hl=en&num=20&as_sdt=0,26",3387547533016043281,https://serpapi.com/search.json?as_sdt=0%2C26&cluster=3387547533016043281&engine=google_scholar&hl=en&num=20,,,,,,,,,,,,,,,,,,,
